"risk.k"	"alpha.at.conception.k"	"sire.k"	"infant.ID.k"	"infant.name.k"	"infant.DOB.k"	"infant.DOC.k"	"infant.mother.k"	"infant.sex.k"	"infant.birthgroup.k"	"infant.DOD.k"	"infant.CauseOfDeath.k"	"infant.alive.k"	"infant.AgeAtDeath.k"	"takeover.date.k"	"infant.ageattakeover.k"	"infant.over1yr.k"
"140"	"GS"	"Nose"	"?"	136	"Mustafa"	1999-11-01	1999-05-25	"Nyla F"	"M"	"CP"	2000-02-02	"Unknown"	0	93	"07-09-01"	"0"	"Y"
"141"	"GS"	"Nose"	"Nose"	15	"Banzai"	2000-04-30	1999-11-22	"Limp F"	"M"	"CP"	2000-05-23	"Unknown"	0	23	"07-09-01"	"0"	"Y"
"142"	"GS"	"Nose"	"Trickle"	70	"Ed"	2000-05-14	1999-12-06	"Pumba F"	"F"	"CP"	NA	""	-1	NA	"07-09-01"	"2666"	"Y"
"143"	"GS"	"Nose"	"Nose"	186	"Sarabi"	2001-01-01	2000-07-25	"Limp F"	"F"	"CP"	NA	""	-1	NA	"07-09-01"	"2434"	"Y"
"144"	"GS"	"Nose"	"Trickle"	193	"Shenzi"	2001-01-01	2000-07-25	"Nyla F"	"F"	"CP"	2004-08-02	"Unknown"	0	1309	"07-09-01"	"0"	"Y"
"145"	"GS"	"Nose"	"Nose"	133	"Mowgli"	2001-06-07	2000-12-29	"Seria F"	"M"	"CP"	2007-09-28	"Unknown"	0	2304	"07-09-01"	"2277"	"Y"
"146"	"GS"	"Nose"	"Trickle"	108	"Kiara"	2002-04-29	2001-11-20	"Pumba F"	"F"	"CP"	NA	""	-1	NA	"07-09-01"	"1951"	"Y"
"147"	"GS"	"Nose"	"Trickle"	13	"Bagheera"	2003-02-23	2002-09-16	"Limp F"	"M"	"CP"	2007-09-28	"Unknown"	0	1678	"07-09-01"	"1651"	"Y"
"148"	"GS"	"Nose"	"Nose"	192	"Shanti"	2003-03-05	2002-09-26	"Nyla F"	"F"	"CP"	NA	""	-1	NA	"07-09-01"	"1641"	"Y"
"149"	"GS"	"Nose"	"Trickle"	14	"Baloo"	2003-05-03	2002-11-24	"Timone F"	"F"	"CP"	NA	""	-1	NA	"07-09-01"	"1582"	"Y"
"150"	"GS"	"Nose"	"Nose"	139	"Nemo"	2004-03-11	2003-10-03	"Seria F"	"F"	"CP"	NA	""	-1	NA	"07-09-01"	"1269"	"Y"
"151"	"GS"	"Nose"	"?"	106	"Jiminy"	2004-04-09	2003-11-01	"Pumba F"	"M"	"CP"	2004-05-30	"Unknown"	0	51	"07-09-01"	"0"	"Y"
"152"	"GS"	"Nose"	"?"	169	"Pongo"	2004-09-01	2004-03-25	"Nyla F"	"M"	"CP"	2005-02-21	"Unknown"	0	173	"07-09-01"	"0"	"Y"
"153"	"GS"	"Nose"	"Legolas"	176	"Rajah"	2004-10-01	2004-04-24	"Simba F"	"M"	"CP"	2006-10-01	"Unknown"	0	730	"07-09-01"	"0"	"Y"
"154"	"GS"	"Nose"	"Legolas"	3	"Abu"	2005-04-25	2004-11-16	"Timone F"	"F"	"CP"	NA	""	-1	NA	"07-09-01"	"859"	"Y"
"155"	"GS"	"Nose"	"Legolas"	244	"Beauty"	2006-03-12	2005-10-03	"Seria F"	"F"	"CP"	NA	""	-1	NA	"07-09-01"	"538"	"Y"
"156"	"GS"	"Nose"	"Legolas"	253	"Arial"	2006-06-08	2005-12-30	"Zazu F"	"F"	"CP"	2012-11-14	"Missing"	0	2351	"07-09-01"	"450"	"Y"
"157"	"GS"	"Nose"	"?"	251	"Stitch"	2006-07-05	2006-01-26	"Ed F"	"M"	"CP"	2006-08-18	"Unknown"	0	44	"07-09-01"	"0"	"Y"
"158"	"AMR"	"Nose"	"Legolas"	258	"Pan"	2006-11-24	2006-06-17	"Sarabi F"	"F"	"CP"	2009-04-01	"Unknown"	0	859	"07-09-01"	"281"	"N"
"159"	"AMR"	"Nose"	"Legolas"	257	"Dory"	2006-12-19	2006-07-12	"Timone F"	"M"	"CP"	NA	""	-1	NA	"07-09-01"	"256"	"N"
"160"	"AMR"	"Nose"	"Legolas"	282	"Lucifer"	2007-02-05	2006-08-29	"Simba F"	"F"	"CP"	NA	""	-1	NA	"07-09-01"	"208"	"N"
"161"	"AMR"	"Nose"	"?"	320	"Sebastian"	2007-05-01	2006-11-22	"Ed F"	"M"	"CP"	2007-12-04	"Unknown"	0	217	"07-09-01"	"123"	"N"
"162"	"GS"	"Legolas"	"Legolas"	390	"MadMadamMim"	2008-04-16	2007-11-08	"Seria F"	"F"	"CP"	NA	""	-1	NA	"12-01-11"	"1365"	""
"163"	"GS"	"Legolas"	"?"	394	"Mushu"	2008-06-20	2008-01-12	"Ed F"	"M"	"CP"	2008-09-30	"Unknown"	0	102	"12-01-11"	"0"	""
"164"	"GS"	"Legolas"	"Legolas"	397	"Thimble"	2008-07-06	2008-01-28	"Kiara F"	"M"	"CP"	2012-10-29	"Missing"	0	1576	"12-01-11"	"1284"	""
"165"	"GS"	"Legolas"	"Legolas"	398	"Urchin"	2008-07-19	2008-02-10	"Zazu F"	"M"	"CP"	NA	""	-1	NA	"12-01-11"	"1271"	""
"166"	"GS"	"Legolas"	"Legolas"	399	"Fantasia"	2008-07-23	2008-02-14	"Sarabi F"	"F"	"CP"	NA	""	-1	NA	"12-01-11"	"1267"	""
"167"	"GS"	"Legolas"	"Legolas"	402	"Geppetto"	2008-09-02	2008-03-26	"Simba F"	"M"	"CP"	NA	""	-1	NA	"12-01-11"	"1226"	""
"168"	"GS"	"Legolas"	"Legolas"	405	"Figaro"	2009-02-18	2008-09-11	"Timone F"	"M"	"CP"	NA	""	-1	NA	"12-01-11"	"1057"	""
"169"	"GS"	"Legolas"	"Legolas"	408	"Lady"	2009-04-28	2008-11-19	"Ed F"	"F"	"CP"	NA	""	-1	NA	"12-01-11"	"988"	""
"170"	"GS"	"Legolas"	"Legolas"	410	"Lambert"	2009-05-30	2008-12-21	"Shanti F"	"M"	"CP"	NA	""	-1	NA	"12-01-11"	"956"	""
"171"	"GS"	"Legolas"	"Legolas"	417	"Toaster"	2009-07-22	2009-02-12	"Baloo F"	"F"	"CP"	NA	""	-1	NA	"12-01-11"	"903"	""
"172"	"GS"	"Legolas"	"Legolas"	424	"Lampwick"	2009-12-08	2009-07-01	"Seria F"	"F"	"CP"	NA	""	-1	NA	"12-01-11"	"764"	""
"173"	"GS"	"Legolas"	"?"	435	"Marlin"	2010-04-28	2009-11-19	"Nemo F"	"M"	"CP"	2011-12-25	"Missing"	0	606	"12-01-11"	"0"	""
"174"	"GS"	"Legolas"	"Legolas"	442	"Badger"	2010-08-20	2010-03-13	"Sarabi F"	"M"	"CP"	NA	""	-1	NA	"12-01-11"	"509"	""
"175"	"GS"	"Legolas"	"Legolas"	443	"Perdita"	2010-08-23	2010-03-16	"Simba F"	"F"	"CP"	NA	""	-1	NA	"12-01-11"	"506"	""
"176"	"GS"	"Legolas"	"Legolas"	523	"Cogsworth"	2011-05-24	2010-12-15	"Kiara F"	"M"	"CP"	NA	""	-1	NA	"12-01-11"	"232"	""
"177"	"GS"	"Legolas"	"?"	631	"ZA-11"	2011-07-25	2011-02-15	"Zazu F"	"U"	"CP"	NA	""	-1	NA	"12-01-11"	"170"	""
"178"	"GS"	"Legolas"	"Legolas"	632	"Merryweather"	2011-09-02	2011-03-26	"Ed F"	"F"	"CP"	2013-01-21	"Missing"	0	507	"12-01-11"	"0"	""
